69
TOWNS
0 40 0 40 1
  .84 39.16
  .84 33.20
 4.24 34.04
 2.56 32.36
 9.36 37.44
12.76 37.44
13.60 39.16
17.04 36.60
17.04 34.88
18.72 38.28
17.88 34.88
20.44 35.76
21.28 33.20
18.72 31.48
25.52 35.76
28.08 33.20
28.92 32.36
29.80 36.60
31.48 37.44
35.76 35.76
39.16 33.20
39.16 39.16
 4.24 29.80
 8.52 24.68
10.20 26.40
15.32 30.64
23.84 30.64
18.72 23.84
22.12 25.52
26.40 23.84
27.24 28.92
20.44 29.80
30.64 25.52
34.88 24.68
35.76 28.08
38.28 28.08
 1.72 15.32
 2.56 20.44
 9.36 21.28
15.32 15.32
16.16 18.72
23.84 19.56
26.40 17.88
27.24 22.12
34.04 14.48
33.20 20.44
36.60 18.72
 1.72  7.64
 5.96 13.60
 5.96 11.08
 9.36 13.60
 9.36  7.64
15.32 11.92
17.04  5.96
17.88  8.52
22.96  7.64
24.68 13.60
28.08 11.92
29.80  7.64
35.76 12.76
36.60 10.20
 4.24  4.24
 5.96  5.12
 8.52  4.24
10.20  4.24
18.72     0
22.96  3.40
29.80  2.56
31.48   .84
