65
fig2c
0 256 0 256 256
    16  218
    43  218
    73  216
   101  216
   130  216
   161  215
   195  214
   224  214
   210  237
   178  237
   148  237
   118  236
    89  237
    63  237
    35  238
    27  195
    55  193
    90  190
   116  189
   149  190
   180  192
   209  188
   242  191
   241  241
    14  163
    39  164
    39  164
    70  162
   103  161
   133  161
   164  158
   195  155
   231  155
    31  132
    54  130
    87  129
   119  126
   148  125
   179  126
   214  123
   244  123
    16   99
    42   95
    71   90
   101   91
   132   89
   165   89
   196   85
   231   88
    24   63
    55   59
    86   57
   114   55
   150   56
   183   49
   213   48
   243   46
    34   33
    70   30
    98   28
   128   26
   160   23
   197   20
   225   15
    13   16
  
 
