71
fig3a
0 256 0 256 256
    47  200
   107  224
   174  187
   123  158
    85  150
    42  124
    31   77
   104   29
   178   26
   233   75
   219  137
   224  204
   155  217
   159  130
   168   76
   116  104
    73   94
   116   62
    56   36
    61  238
    40  161
    31   71
    32   82
    42  117
    41  130
    40  156
    40  167
    46  196
    48  206
    63  234
    58  242
   107  220
   107  228
    84  154
    86  146
    86  146
    72   98
    75   89
    54   39
    59   33
   223  198
   225  210
   218  132
   219  143
   234   80
   232   70
   178   30
   178   20
   178   20
   168   72
   167   73
   169   80
   160  126
   160  126
   157  134
   172  182
   173  182
   176  192
   156  213
   154  220
   123  162
   123  153
   121  151
   116  107
   116   99
   116   99
   115   63
   119   59
   119   60
   103   32
   104   24
  
 
