80
fig3c
0 256 0 256 256
    31  196
    91  196
   157  196
   220  198
    33  128
    92  127
   157  125
   222  125
    30   59
    90   57
   158   54
   226   51
    35  203
    38  196
    98  202
    99  196
   163  201
   165  195
   225  202
   227  197
    39  133
    41  128
    97  132
   100  126
   159  129
   162  124
   225  131
   229  122
   230   58
   234   51
   163   60
   164   53
    95   64
    97   57
    36   65
    35   58
    27  198
    29  189
    92  187
    98  190
    84  190
    87  201
   149  193
   152  202
   157  188
   223  190
   215  189
   211  196
   213  202
   218  203
   220  132
   215  128
   215  120
   223  118
   151  128
   149  123
   157  118
    92  133
    83  129
    89  122
    95  120
    33  133
    26  128
    31  122
    37  123
    29   64
    22   60
    26   54
    87   63
    82   57
    93   49
    83   49
   154   59
   148   53
   152   47
   160   47
   222   57
   215   50
   221   44
   230   46
