40
schools
300 1225 560 1830 100
   421   836
   462  1462
   463  1292
   473  1344
   488   763
   497  1281
   507  1040
   538   670
   569  1298
   571   875
   575  1242
   588   985
   593  1397
   597   759
   654   755
   666   678
   668  1323
   709   914
   726   783
   732  1623
   736  1205
   752  1113
   755  1669
   760  1465
   765  1352
   783  1096
   806  1533
   815   975
   853  1202
   862  1299
   884  1654
   910  1237
   917  1526
   973  1717
   978  1425
  1007  1143
  1011  1545
  1045  1660
  1056  1388
  1106  1533
