62
REDWOODS
0 1 -1 0 1
0.36 -0.08
0.44 -0.1
0.48 -0.08
0.48 -0.14
0.5 -0.1
0.76 -0.14
0.78 -0.12
0.78 -0.16
0.84 -0.08
0.86 -0.18
0.9 -0.08
0.9 -0.1
0.9 -0.16
0.9 -0.2
0.18 -0.4
0.18 -0.38
0.2 -0.42
0.6 -0.34
0.62 -0.34
0.64 -0.36
0.64 -0.28
0.68 -0.32
0.68 -0.24
0.7 -0.28
0.72 -0.26
0.1 -0.58
0.12 -0.58
0.12 -0.62
0.14 -0.58
0.18 -0.56
0.18 -0.54
0.2 -0.52
0.2 -0.5
0.22 -0.46
0.24 -0.48
0.52 -0.58
0.5 -0.6
0.58 -0.58
0.94 -0.52
0.96 -0.54
0.22 -0.8
0.22 -0.84
0.26 -0.7
0.44 -0.76
0.48 -0.78
0.5 -0.76
0.9 -0.76
0.9 -0.78
0.48 -0.68
0.52 -0.66
0.56 -0.64
0.999 -0.84
0.44 -0.82
0.48 -0.82
0.34 -0.84
0.38 -0.84
0.26 -0.86
0.4 -0.86
0.28 -0.86
0.74 -0.9
0.86 -0.9
0.96 -0.96
